AppID,Genres,total_review_num,total_pos_num,total_neg_num
1213420,"Adventure,Casual,Indie,Simulation,Strategy",5,4,1
1385820,"Action,Adventure,Indie",1,1,0
848460,"Action,Casual,Indie",0,0,0
735650,"Indie,Strategy",1,1,0
1048100,"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation",872,729,143
345700,"Adventure,Casual,Indie",36,23,13
1873830,"Action,Casual,Indie,Strategy",0,0,0
65600,RPG,197,76,121
674250,"Action,Indie,RPG,Early Access",17,14,3
439250,"Adventure,Indie",126,117,9
1788650,"Action,Adventure,Casual,Indie",1,0,1
1239710,"Simulation,Early Access",0,0,0
1275060,"Casual,Indie,Strategy",6,4,2
940350,"Adventure,Casual,Indie,Simulation",4,1,3
868060,"Action,Adventure,Indie,RPG",33,29,4
1284550,"Action,Casual,Indie",26,24,2
924670,"Adventure,Casual,Indie,Racing,Simulation,Sports",37,24,13
598590,"Action,Adventure,Indie",2,2,0
620050,Utilities,18,10,8
454330,"Adventure,Indie",8,6,2
1723050,"Action,Simulation",0,0,0
763230,"Casual,Free to Play,Indie",0,0,0
959710,Indie,6,6,0
1140060,"Action,Adventure,Indie,RPG,Strategy",0,0,0
1644920,"Adventure,Casual,Indie,RPG",9,8,1
957070,"Casual,Indie,Simulation,Sports,Strategy,Early Access",85,80,5
1270780,"Action,Casual,Indie,Simulation,Strategy",1,1,0
1702210,"Utilities,Web Publishing,Early Access",10,10,0
1302270,Simulation,3,3,0
974930,RPG,0,0,0
1017480,"Casual,Free to Play,Indie,Strategy",0,0,0
676030,"Action,Adventure,Indie,Simulation,Strategy",38,35,3
1728410,"Action,Indie,RPG",0,0,0
1165280,"Casual,Indie",3,1,2
1095120,"Adventure,Indie",68,64,4
818390,"Adventure,Indie",12,8,4
1245470,"Action,Casual,Indie,Simulation,Sports",8,5,3
839770,"RPG,Strategy",1841,1296,545
1874660,"Casual,Indie,Simulation,Early Access",1,0,1
562640,"Adventure,Casual,Indie,RPG",25,17,8
360840,"Adventure,Indie",43,38,5
1007890,"Action,Indie",0,0,0
1030840,"Action,Adventure",12786,11118,1668
1234450,"Action,Adventure,Casual,Indie",26,10,16
890130,"Indie,Strategy",10,10,0
1093880,"Animation & Modeling,Design & Illustration,Utilities",19,11,8
1896980,Casual,0,0,0
368730,"Action,Adventure,Casual,Indie",691,556,135
1041300,Adventure,2,1,1
572620,"Casual,Indie,Simulation",84,70,14
1581500,"Action,Casual,Indie,Early Access",19,19,0
318260,"Casual,Indie,Simulation",67,37,30
821880,"Indie,Simulation,Strategy",894,821,73
886360,Casual,22,13,9
1408480,"Action,Adventure,Indie",7,6,1
696760,Simulation,6,5,1
780210,"Indie,Simulation",830,691,139
1713640,"Action,Casual,Free to Play",0,0,0
451600,"Action,Adventure,Indie",122,112,10
1109350,"Casual,Indie,RPG,Strategy,Early Access",2,2,0
781240,Action,0,0,0
929570,"Adventure,Casual,Indie,Simulation",2,1,1
841830,"Adventure,Casual,Indie",0,0,0
1165460,"Adventure,Casual,Indie,Early Access",1,0,1
485980,"Indie,Strategy",1049,883,166
679400,"Free to Play,Indie,Strategy,Early Access",0,0,0
1514480,"Adventure,Indie",24,19,5
1368750,Casual,4,4,0
1121310,"Casual,Free to Play,Indie,Simulation,Early Access",4,1,3
1453640,"RPG,Simulation,Strategy,Early Access",21,17,4
1389360,"Indie,RPG,Strategy",177,153,24
429480,"Indie,Early Access",2,0,2
1368400,"Action,Indie",6,4,2
1005050,"Adventure,Casual,Strategy",10,9,1
529040,"Casual,Indie,Simulation",8,7,1
694070,"Action,Adventure,Indie,RPG",6,3,3
1311210,"Action,Casual,Free to Play,Indie,RPG,Simulation,Strategy",0,0,0
1453660,"Action,Adventure,Indie,RPG",3,3,0
587580,"Indie,Simulation",198,165,33
294440,"Adventure,Indie",346,305,41
1309290,"Action,Adventure,Indie,RPG,Simulation,Early Access",18,15,3
364980,"Casual,Simulation,Strategy",10,5,5
269250,Indie,312,267,45
1228870,Action,14,11,3
633660,Strategy,3,1,2
1274280,"Action,Adventure,Indie",5,5,0
1791610,"Action,Adventure,Casual,Indie,Strategy,Early Access",0,0,0
1127500,"Casual,Indie,Simulation,Strategy",9300,8935,365
508650,"Action,Adventure,Indie,Strategy,Early Access",6,4,2
358700,Simulation,12,3,9
656740,"Action,Indie,RPG",54,47,7
1047950,"Action,Adventure,Indie,RPG,Early Access",19,15,4
1076100,"Adventure,Casual,RPG,Strategy",1,1,0
648150,"Action,Indie",1,1,0
630900,"RPG,Design & Illustration,Utilities",327,305,22
883160,"Casual,Indie",0,0,0
783840,"Adventure,Indie,RPG",293,232,61
1487140,"Indie,RPG",3,2,1
1696810,"Indie,Simulation,Early Access",1913,1505,408
1178000,"Adventure,Casual,Indie",8,8,0
1138580,"Indie,Simulation,Strategy,Early Access",84,69,15
416090,"Action,Indie,Simulation",2,1,1
595360,"Action,Indie,Simulation,Early Access",23,12,11
1581240,"Adventure,Indie,RPG",5,5,0
1751990,"Action,Adventure,Indie",1,1,0
1445500,"Adventure,Indie",0,0,0
1315240,"Free to Play,Indie",0,0,0
404530,"Action,Indie,Simulation,Strategy",382,332,50
1137650,"Action,Adventure",0,0,0
1408380,"Indie,Simulation",1,0,1
1049690,"Action,Adventure,Indie",4,4,0
612840,"Casual,Indie,Simulation",9,8,1
1463120,"Adventure,Casual,Free to Play,Indie",72,68,4
243890,"Education,Software Training",22,10,12
428410,"Action,Adventure,Indie",5,3,2
988110,Indie,3,3,0
1921760,"Adventure,Casual,Indie,Simulation,Strategy",21,21,0
791370,"Adventure,RPG",2,2,0
622460,"Action,Indie,Strategy",145,106,39
883130,"Indie,Simulation,Sports",156,137,19
913570,"Adventure,Indie,RPG",0,0,0
1930230,"Adventure,Casual,Indie,RPG",1,1,0
351490,"Casual,Indie",366,289,77
378360,"Indie,Simulation,Strategy,Early Access",415,289,126
1273450,"Indie,Simulation,Strategy",26,20,6
1059660,"Casual,Indie,Simulation,Early Access",0,0,0
820830,"Action,Casual,Indie,Simulation",3,2,1
668290,"Action,Indie,Strategy",4,2,2
646100,"Action,Adventure,Indie",8,1,7
1382310,Indie,1,1,0
1944970,"Action,Adventure,Casual,Indie,Simulation",12,11,1
1534240,"Casual,Indie,Simulation",0,0,0
1339310,"Casual,Indie",2,2,0
575800,"Casual,Indie,Strategy",5,4,1
1968280,"Casual,Animation & Modeling,Utilities,Game Development",0,0,0
634120,"Adventure,Indie",78,44,34
1843230,Strategy,0,0,0
1434550,"Adventure,Indie",0,0,0
316260,"Action,Adventure",76,58,18
604040,"Indie,Strategy",7,4,3
1050170,"Casual,Indie,Strategy",1,0,1
1546120,"Action,Indie",2,2,0
762850,Casual,0,0,0
1221560,"Action,Casual,Free to Play,Indie,Simulation",0,0,0
1939600,"Action,Adventure,Indie,RPG,Early Access",2,1,1
1652800,"Casual,Indie",0,0,0
437530,"Action,Adventure,Indie",66,46,20
1583650,"Adventure,Casual,Simulation",14,12,2
526130,"Action,Indie,Sports",18,15,3
1651880,"Adventure,Indie",7,5,2
311120,Action,172,82,90
410670,"Action,Adventure,Indie,RPG",645,585,60
1131410,"Casual,Indie,Simulation",30,30,0
1417890,"Adventure,Casual,Indie",18,18,0
2006770,"Indie,Simulation,Strategy,Early Access",2,2,0
1583840,"Adventure,Indie,RPG",2,2,0
516940,"Action,Casual,Indie,Simulation",33,25,8
1304320,"Action,Adventure,Casual,Indie,RPG,Simulation",0,0,0
1471960,"Casual,Indie,Strategy",84,81,3
1350540,"Action,Simulation",10,8,2
1512910,"Action,Casual",0,0,0
511110,"Action,Indie,Sports,Early Access",0,0,0
1578750,"Action,Casual,Indie,Strategy",1,1,0
1674300,"Action,Casual,Indie,Early Access",0,0,0
465750,Strategy,11,10,1
1053660,"Action,Adventure,Casual,Indie,Simulation",17,9,8
605490,"Action,Casual,Indie",2,1,1
1253320,"Action,Indie,Strategy",0,0,0
448960,"Action,Adventure,Casual,Indie",12,11,1
1457150,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",0,0,0
1129660,Casual,33,25,8
1550750,"Action,Adventure,Casual,Indie,RPG,Simulation",40,29,11
1787520,"Casual,Indie,RPG,Strategy",1,1,0
292180,Simulation,562,386,176
1095140,"Action,Adventure,Casual,Indie,Simulation,Early Access",2,2,0
973410,"Action,Adventure,Indie,RPG",7,7,0
